GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoP_per,TP_per,blk_per,stl_per,ftr,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,treb,ast,stl,blk,pts,posicion,ronda,altura_cm,rango_pick
34,70.3,100.7,20.8,53.8,50.93,14.2,15.5,3.4,16.0,0.295,0.541,0.0,9.9,1.8,30.1,0.28847914,0.7027,0.2571,95.5401,200.006,5.56709,0.789686,4.7774,4.32984,28.4412,1.78075,2.5491,7.5588,0.4412,0.8235,2.7059,10.0,C,R1,208.3,1-10
31,77.3,99.8,20.4,51.5,52.4,10.6,27.1,9.4,21.2,0.551,0.521,0.328,4.4,3.9,35.6,0.5946127,0.6069,0.3175,83.7071,283.374,8.97574,1.61601,7.35973,7.55752,33.4194,2.92706,4.63046,11.1935,1.4194,2.1613,1.3226,10.871,PF/C,R1,200.7,21-30
37,88.0,113.6,33.1,54.9,57.5,2.3,9.9,26.4,16.3,0.821,0.496,0.407,0.5,1.5,19.2,1.31932084,0.6029,0.4725,104.713,204.986,3.82596,5.92043,-2.09447,6.30415,35.1892,7.66592,-1.36177,3.8649,4.2432,0.8919,0.1892,23.7027,Scoring PG,R2,188.0,41-50
39,63.1,111.6,21.8,44.6,53.13,1.7,8.1,26.0,18.4,0.792,0.376,0.383,0.9,2.5,59.6,2.17190735,0.6034,0.2609,88.0517,165.034,7.024,4.43846,2.58554,7.08963,25.4872,3.38184,3.70779,2.2308,3.5641,1.0256,0.2051,9.3333,Scoring PG,R2,198.1,41-50
32,74.3,116.7,28.1,60.1,63.77,11.2,22.8,9.4,18.1,0.776,0.593,0.434,7.3,1.3,42.9,0.41248002,0.7219,0.4862,93.7441,207.66,8.05175,4.51105,3.54069,9.51839,30.0625,7.33232,2.18607,8.4062,1.0312,0.6562,1.9688,18.4688,PF/C,R1,205.7,11-20
35,81.4,112.3,25.1,49.9,56.34,8.4,12.3,9.2,15.9,0.775,0.493,0.341,3.1,2.1,53.8,0.67502293,0.697,0.3354,101.712,206.932,7.14569,4.66538,2.48031,6.97725,32.8,5.14855,1.8287,5.8571,1.5429,1.1714,0.9714,17.0571,Wing F,R1,203.2,1-10
35,81.2,115.1,18.7,60.3,63.19,2.0,8.8,23.9,25.6,0.815,0.571,0.407,0.8,3.4,27.3,1.74489297,0.5833,0.5333,95.4256,216.229,7.61244,6.0016,1.61084,7.32451,32.4857,4.40021,2.9243,3.3714,4.8857,1.9714,0.2286,12.1143,Scoring PG,R2,193.0,31-40
34,67.8,112.8,25.7,57.5,60.36,9.9,21.3,8.2,15.3,0.696,0.576,0.383,4.3,1.5,46.0,0.49209348,0.7143,0.4341,89.4038,202.924,6.61092,3.58896,3.02196,8.18951,27.2353,5.93445,2.25506,7.9706,0.9118,0.7059,1.1765,15.7941,Stretch 4,R1,203.2,1-10
40,80.1,133.8,19.1,62.8,65.41,11.6,23.9,7.5,10.0,0.709,0.653,0.15,13.7,2.5,60.2,1.21951222,0.8736,0.3846,79.63,360.572,17.668,7.54963,10.1184,16.6573,32.025,9.09614,7.56117,10.375,1.25,1.35,4.65,14.175,C,R1,208.3,1-10
31,81.3,103.0,28.8,47.0,51.73,2.4,14.5,17.9,15.4,0.77,0.502,0.291,1.6,2.3,33.8,1.04597616,0.6899,0.3033,102.774,198.311,3.96519,3.54189,0.423291,4.92848,33.0312,4.38554,0.542943,5.2188,2.8438,1.3438,0.5625,19.0625,Wing G,R1,195.6,1-10
33,78.8,96.9,27.2,46.4,50.91,5.6,10.4,16.8,21.0,0.637,0.478,0.266,1.4,2.1,59.4,0.8712997,0.6023,0.2931,97.7351,179.703,0.778603,0.781192,-0.00258988,0.958423,31.7576,0.684581,0.273842,4.6061,2.6667,1.0909,0.4545,14.1212,Wing G,R1,193.0,21-30
33,86.4,103.9,26.4,50.8,53.24,2.7,7.7,29.8,20.8,0.687,0.536,0.243,0.9,1.4,26.7,1.63967181,0.6667,0.4658,109.698,173.207,0.275797,1.81237,-1.53657,0.913104,34.8182,2.51657,-1.60346,3.3333,5.5152,0.8485,0.3636,15.6364,Scoring PG,R2,190.5,31-40
30,79.5,114.9,23.6,56.1,60.96,12.2,21.7,7.0,17.5,0.78,0.555,0.444,2.1,1.4,48.5,0.47947232,0.7378,0.3493,99.1674,205.304,3.99757,3.29297,0.704601,4.57727,35.7667,4.39764,0.179634,10.4667,1.1667,0.8333,0.7667,16.4,PF/C,R1,210.8,21-30
35,67.5,118.3,16.4,59.5,62.66,11.5,29.0,9.2,18.1,0.675,0.598,0.0,2.4,4.1,79.5,0.92306656,0.6331,0.3,82.3058,271.713,10.4199,3.66367,6.75626,9.97505,29.0286,4.88872,5.08632,10.0,1.3714,2.0286,0.6571,9.3714,PF/C,R2,200.7,51-60
