GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoP_per,TP_per,blk_per,stl_per,ftr,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,treb,ast,stl,blk,pts,posicion,ronda,altura_cm,rango_pick
34,79.9,111.9,26.9,57.1,61.08,5.1,11.7,12.2,17.6,0.878,0.568,0.384,0.8,1.7,26.6,0.73626002,0.7348,0.4178,102.592,186.847,4.25113,4.60648,-0.355351,5.37358,32.8824,5.3424,0.0311799,4.9118,1.9706,0.9412,0.2353,18.7353,Wing G,R2,198.1,51-60
34,86.4,118.2,22.5,54.1,59.09,3.5,12.9,16.9,11.6,0.768,0.525,0.379,3.1,1.6,48.3,1.80007417,0.6891,0.3841,99.2219,215.685,7.09476,4.66915,2.42562,7.84265,35.3235,5.71776,2.12489,5.2647,2.9118,1.0,1.0294,17.1765,Wing G,R2,190.5,41-50
25,71.6,113.6,31.7,53.5,55.8,4.0,14.0,35.5,15.6,0.649,0.502,0.413,3.1,2.4,38.3,1.85,0.6174,0.4343,109.389,172.067,7.58209,6.54689,1.0352,8.85802,35.68,7.68118,1.17684,5.72,5.92,1.56,1.2,23.16,Scoring PG,R1,193.0,1-10
38,60.7,118.0,25.2,62.7,64.16,13.9,24.7,11.0,19.0,0.673,0.625,0.424,4.9,1.9,46.2,0.67947974,0.7619,0.4038,87.4686,223.462,10.6049,5.65606,4.94879,9.37206,24.3684,6.16321,3.20885,8.3158,1.3947,0.7895,1.1316,13.6316,PF/C,R1,208.3,11-20
34,61.2,109.3,23.7,56.2,58.64,9.8,11.7,6.3,17.6,0.685,0.57,0.35,5.9,1.9,38.3,0.37681086,0.7034,0.4211,100.93,179.644,4.54953,2.03066,2.51887,4.24068,24.9118,2.60641,1.63427,5.3824,0.7647,0.9412,1.6176,13.8235,PF/C,R1,205.7,1-10
40,81.4,99.8,21.0,44.9,49.08,1.6,6.7,25.5,23.8,0.714,0.438,0.325,0.8,1.7,33.8,1.75229367,0.5548,0.2821,97.6421,188.101,2.43779,2.24767,0.190118,1.21593,32.575,0.654154,0.561773,2.525,4.775,0.925,0.275,10.025,Scoring PG,R1,188.0,21-30
32,90.9,115.3,29.6,54.2,58.37,6.3,14.2,16.0,15.7,0.772,0.559,0.34,3.0,2.3,38.4,0.81632653,0.6792,0.4012,103.053,228.498,6.65104,5.90991,0.741129,9.58382,36.5,8.53793,1.04589,7.0312,2.5,1.5,1.2188,24.625,Wing G,R1,195.6,21-30
33,74.8,123.8,25.8,64.0,64.35,13.8,21.4,8.8,14.7,0.627,0.647,0.397,2.6,1.4,47.5,0.66669599,0.7311,0.4576,96.4998,234.046,8.66296,6.3114,2.35157,9.6447,33.7576,8.30044,1.34425,11.0909,1.5152,0.8182,0.8788,21.0303,PF/C,R1,210.8,1-10
36,86.7,113.1,25.1,59.9,62.8,9.8,23.3,11.5,19.2,0.681,0.599,0.0,4.0,1.7,68.8,0.67959875,0.7412,0.3688,90.9172,282.551,8.66358,3.98273,4.68084,8.41895,34.6667,5.39624,3.0227,9.9722,1.9444,1.0,1.4444,17.0833,C,R1,208.3,21-30
36,77.2,103.2,17.2,50.0,54.17,3.0,9.0,13.5,20.5,0.851,0.555,0.305,8.1,6.6,24.8,1.16669397,0.7595,0.15,87.4217,284.521,11.3248,2.07984,9.24499,10.5343,31.0,2.15807,8.3762,3.0833,2.1389,3.4444,2.1944,9.0833,Combo G,R1,195.6,11-20
30,82.6,111.8,21.8,61.0,63.09,3.9,14.6,17.9,19.5,0.712,0.623,0.385,2.2,3.5,36.6,1.11688158,0.7043,0.2955,101.11,222.241,5.35619,3.02266,2.33353,6.27618,34.4,3.90669,2.36949,5.6,2.8667,2.1,0.7333,15.9,Wing G,R2,198.1,31-40
32,78.6,112.5,22.0,58.6,61.77,9.1,23.5,9.9,18.7,0.732,0.604,0.091,6.9,0.9,43.6,0.63237645,0.7569,0.4412,94.6348,210.3,6.54568,1.57784,4.96784,6.26746,31.8125,3.03494,3.23251,8.1875,1.3438,0.4688,1.875,13.5625,C,R1,213.4,11-20
37,53.1,116.5,27.5,53.8,59.27,11.5,20.0,3.2,12.6,0.761,0.534,0.369,8.3,1.5,55.0,0.22916828,0.6446,0.3438,92.1315,179.442,6.1217,2.78339,3.33831,8.40364,21.5405,5.58568,2.81796,5.9459,0.2973,0.5676,1.5135,13.2162,PF/C,R1,208.3,21-30
40,87.5,102.6,24.4,43.8,49.13,4.0,11.1,40.2,24.1,0.694,0.438,0.292,1.7,4.8,47.2,2.14705882,0.589,0.2698,86.8313,299.662,9.12808,4.84479,4.28329,8.82116,35.2,3.95766,4.86349,4.875,7.3,2.775,0.475,11.85,Pure PG,R1,198.1,11-20
37,93.8,111.2,24.8,55.4,57.36,3.2,8.7,26.5,18.5,0.662,0.525,0.391,1.1,3.1,32.8,1.52382119,0.649,0.3429,100.689,236.447,6.88167,5.11005,1.77162,7.60032,37.8919,5.0006,2.59972,4.0811,4.3243,1.9189,0.3514,17.4865,Scoring PG,R2,200.7,41-50
40,77.8,111.8,21.3,51.1,57.05,10.3,16.1,10.8,19.6,0.745,0.535,0.255,2.8,1.9,58.9,0.86206898,0.6993,0.3561,90.971,242.953,8.18856,5.00434,3.18423,6.73574,31.125,3.86278,2.87296,7.425,1.875,0.975,0.925,11.9,Wing F,R1,200.7,1-10
3,4.1,92.7,33.3,38.3,43.76,9.5,32.5,4.6,10.1,0.778,0.35,0.3,2.0,3.4,30.0,0.33329999,0.5385,0.0,88.6588,14.5523,-4.93399,-3.94221,-0.99178,8.15219,17.6667,4.7739,3.37829,6.6667,0.3333,1.0,0.3333,10.0,Stretch 4,R1,208.3,11-20
40,79.7,130.1,22.0,62.3,65.53,5.2,13.7,10.6,10.9,0.851,0.593,0.435,3.5,2.7,28.2,1.42592587,0.677,0.4133,97.393,268.23,11.9834,7.99537,3.988,12.0123,32.175,8.46374,3.54853,5.3,1.925,1.525,1.075,17.65,Wing G,R1,200.7,1-10
33,80.2,116.8,31.7,51.0,57.21,12.0,29.0,18.6,10.9,0.788,0.515,0.25,7.7,1.0,50.6,1.35083659,0.6597,0.3966,83.836,257.626,10.9448,4.83395,6.11084,12.513,32.0909,8.51832,3.9947,11.303,2.3333,0.5152,2.3333,18.8788,C,R2,210.8,41-50
34,75.9,116.2,25.0,53.6,57.26,5.2,18.1,16.6,14.7,0.845,0.527,0.366,2.5,1.2,24.1,1.34329644,0.6563,0.3942,94.6045,212.43,7.37899,4.75891,2.62008,7.61598,31.3824,5.75657,1.85941,6.9706,2.6471,0.6176,0.7647,17.1176,Wing F,R1,200.7,11-20
29,84.3,117.9,23.0,49.3,54.34,3.7,9.2,28.6,13.2,0.813,0.437,0.414,1.0,3.2,33.9,2.66037433,0.5972,0.3722,101.25,187.987,9.10484,7.2145,1.89034,8.84555,34.1724,6.32612,2.51944,3.8966,4.8621,1.8966,0.3103,15.7931,Scoring PG,R2,188.0,31-40
34,50.9,117.3,17.6,61.0,62.05,16.6,22.7,5.1,20.0,0.632,0.61,0.0,4.2,1.5,52.1,0.42855988,0.7143,0.4364,94.9681,152.76,6.31222,3.27953,3.03269,5.34687,20.5,3.67006,1.67681,7.1176,0.5294,0.5294,0.9412,6.6471,C,R1,208.3,21-30
8,13.2,113.2,24.1,54.5,57.23,15.5,27.2,12.6,17.5,0.667,0.566,0.0,3.2,4.9,43.6,0.92307692,0.7391,0.4333,90.2124,51.044,10.8315,4.6351,6.19639,7.95678,24.625,3.47845,4.47833,8.25,1.5,1.875,0.75,9.5,C,R1,208.3,21-30
28,74.3,106.0,28.0,51.2,55.82,2.5,18.7,20.7,16.9,0.792,0.486,0.367,4.2,1.6,35.1,1.37332771,0.5833,0.3409,98.1772,189.263,3.86252,2.31428,1.54825,4.28909,30.931,3.32755,0.961545,6.2759,3.5517,0.8966,1.2759,17.1379,Wing F,R2,198.1,51-60
32,89.9,100.0,24.3,47.2,50.4,8.4,18.2,9.6,16.8,0.676,0.506,0.215,4.2,2.6,32.6,0.58751998,0.648,0.3224,100.442,244.075,3.29851,1.28587,2.01264,3.58912,36.0938,2.88826,0.700859,8.625,1.4688,1.5938,1.4062,15.5312,Wing F,R1,203.2,11-20
30,64.3,115.1,21.5,56.7,59.26,12.2,28.2,3.6,14.1,0.681,0.603,0.275,12.9,1.5,44.1,0.32609404,0.7622,0.3067,88.9646,236.983,9.67551,1.54171,8.1338,9.8487,30.2,4.54705,5.30165,10.5333,0.5,0.7667,3.6333,12.9,C,R1,210.8,1-10
35,86.8,124.2,23.8,52.3,55.53,3.7,11.3,32.0,8.1,0.802,0.503,0.378,0.8,2.4,23.9,5.1666663,0.625,0.4227,101.974,225.734,9.78239,8.06251,1.71988,9.47688,35.3429,7.19907,2.2778,4.8286,6.2,1.5143,0.2857,16.4286,Scoring PG,R2,190.5,51-60
35,84.8,113.7,22.6,57.8,58.81,10.0,19.1,9.2,15.1,0.597,0.602,0.243,3.7,1.6,50.8,0.7101552,0.7789,0.3784,89.4932,244.458,7.45216,3.50642,3.94574,8.58579,35.1143,5.41646,3.16934,9.1714,1.4,0.9429,1.2,15.6857,PF/C,R2,203.2,31-40
34,84.8,126.2,17.7,55.9,58.61,2.5,8.6,27.4,10.7,0.753,0.547,0.395,1.3,3.2,27.8,4.63180029,0.6455,0.4522,98.9761,222.707,8.73664,6.34548,2.39116,9.21868,33.9118,5.5927,3.62598,3.4412,5.1765,1.8824,0.4412,11.9412,Scoring PG,R2,188.0,51-60
38,65.5,114.8,24.6,60.3,61.76,6.5,25.0,6.7,13.1,0.698,0.612,0.392,2.0,2.2,26.3,0.58931681,0.7241,0.3333,92.2554,226.261,7.17181,3.66294,3.50887,8.319,27.641,5.04275,3.27625,7.1282,0.8462,0.9744,0.5128,14.6154,Stretch 4,R1,210.8,21-30
32,84.2,116.0,21.6,50.3,56.81,6.3,11.8,8.0,11.8,0.812,0.478,0.358,2.0,1.6,48.2,0.96153846,0.5636,0.3947,98.2513,195.879,5.74065,4.29972,1.44093,6.32709,33.8125,4.7656,1.56149,5.75,1.5625,1.0,0.6562,16.8438,Wing G,R1,198.1,11-20
34,54.9,109.4,23.8,48.8,55.61,7.2,24.9,6.2,16.6,0.839,0.513,0.274,12.3,0.8,43.6,0.42549187,0.7407,0.4255,85.3599,185.417,7.38281,0.519533,6.86328,8.53262,22.2059,3.08008,5.45255,6.5294,0.5882,0.2941,2.6176,10.1471,PF/C,R1,210.8,11-20
24,73.3,106.0,28.7,54.9,59.6,0.6,15.7,15.1,19.2,0.862,0.539,0.371,0.6,3.3,32.1,0.67567218,0.6535,0.3208,90.9492,163.279,5.0055,3.39479,1.6107,7.39625,31.9167,5.09438,2.30186,4.7083,2.0833,1.875,0.1667,19.4583,Combo G,R1,190.5,21-30
36,45.3,107.8,24.0,50.5,55.07,9.2,16.9,6.1,16.1,0.77,0.529,0.269,3.3,1.5,36.6,0.47918697,0.6825,0.3263,96.0253,144.019,3.87487,1.85473,2.02014,4.14224,18.1944,2.44311,1.69912,4.6111,0.6389,0.5278,0.5278,9.8056,Wing F,R1,198.1,21-30
31,91.8,122.7,30.8,54.5,60.31,3.6,14.1,35.1,12.8,0.824,0.532,0.38,0.4,2.9,46.3,2.39997521,0.6531,0.4251,100.908,220.48,8.87537,8.85589,0.0194864,9.58873,38.4839,8.3831,1.20563,5.5161,5.8065,1.7742,0.129,22.6452,Scoring PG,R2,190.5,31-40
28,76.1,113.2,24.9,55.8,59.27,10.7,26.8,18.4,18.2,0.707,0.562,0.0,13.4,2.0,47.9,1.11595842,0.6596,0.3824,79.8662,243.14,12.9541,2.19389,10.7602,11.8503,30.0345,4.92141,6.92886,10.1379,2.6552,1.069,3.3448,14.931,C,R2,213.4,31-40
24,57.5,109.0,18.2,59.0,58.26,10.4,22.3,9.5,19.1,0.529,0.59,0.0,13.2,3.9,62.7,0.84442666,0.7677,0.3284,81.3956,227.307,12.8608,2.47414,10.3866,11.0895,31.875,3.95391,7.13561,9.4583,1.5833,2.0833,4.4167,10.4583,C,R1,208.3,1-10
36,83.3,114.5,27.8,56.8,59.92,3.0,15.7,35.9,20.7,0.707,0.555,0.39,0.5,3.3,44.9,1.94116046,0.58,0.3333,96.2249,246.623,8.88349,7.0439,1.8396,9.63742,33.3333,7.30155,2.33587,5.3333,6.4167,1.8889,0.1667,17.1667,desconocido,R2,198.1,41-50
31,73.5,123.4,20.3,64.2,67.36,11.3,18.6,1.7,15.3,0.752,0.642,0.0,8.0,0.2,57.1,0.14285714,0.837,0.4202,94.5497,187.041,5.49275,2.96557,2.52718,6.27526,29.6452,4.20902,2.06623,7.7742,0.2258,0.0968,2.129,14.0323,C,R2,210.8,41-50
34,82.8,109.8,26.4,54.6,58.59,1.8,13.1,24.6,19.6,0.778,0.537,0.374,2.3,3.4,35.9,1.39177674,0.6067,0.4271,94.3004,237.055,7.62455,3.96288,3.66167,7.93704,34.3235,4.23851,3.69853,4.0882,3.9706,1.8824,0.5294,16.1765,Scoring PG,R1,195.6,11-20
32,80.2,105.1,24.8,46.6,52.07,0.9,7.8,31.5,18.2,0.797,0.447,0.327,0.0,2.1,36.1,2.06095607,0.5405,0.3939,96.3594,178.126,3.60492,3.30235,0.302569,4.34013,32.3125,3.01796,1.32216,2.5,5.2812,1.1875,0.0,14.0312,Pure PG,R2,190.5,41-50
32,79.0,104.2,22.2,49.0,53.31,8.4,20.6,12.2,16.9,0.641,0.509,0.281,8.0,1.9,64.4,0.86565094,0.7027,0.3333,98.5186,238.255,6.53918,1.36936,5.16982,5.01494,31.5938,2.00112,3.01382,8.5625,1.8125,1.0625,2.5312,12.9688,PF/C,R2,210.8,31-40
38,79.6,119.3,24.9,53.3,59.37,2.2,15.7,25.8,14.8,0.867,0.527,0.368,0.2,2.9,40.0,2.1829091,0.6563,0.4471,85.8129,274.226,10.47,5.67179,4.79819,10.3435,32.6579,5.57175,4.77177,5.9737,4.7105,1.6842,0.0789,16.8421,Combo G,R2,190.5,51-60
36,86.0,124.1,23.9,58.6,64.17,1.6,8.8,18.8,14.0,0.824,0.5,0.442,0.9,1.0,51.8,1.76121657,0.6092,0.404,107.646,171.682,7.59555,7.78089,-0.185343,8.41756,35.5833,8.06205,0.355509,2.9167,3.2778,0.5556,0.3056,17.5,Combo G,R1,198.1,1-10
34,87.0,115.9,25.1,53.9,57.8,9.8,25.6,11.0,12.1,0.755,0.542,0.349,4.4,0.9,38.3,0.93100417,0.7029,0.4341,93.3056,244.636,8.27907,4.1751,4.10397,8.82136,34.9118,6.33822,2.48314,10.2941,1.5882,0.5294,1.3824,17.1176,PF/C,R1,208.3,11-20
30,61.8,109.1,21.5,56.0,60.43,10.8,27.3,4.9,21.8,0.716,0.53,0.485,5.4,1.9,62.0,0.2812544,0.5984,0.3934,90.6372,195.609,5.27582,0.682888,4.59293,6.05888,26.4667,2.72525,3.33363,8.9667,0.6,0.8667,1.3667,11.2667,PF/C,R1,208.3,1-10
37,85.1,114.0,30.8,50.8,56.4,4.1,10.1,30.3,17.3,0.813,0.501,0.35,0.2,2.0,40.5,1.60168696,0.6722,0.3644,94.9421,221.453,7.92525,6.5307,1.39455,9.04699,34.027,7.42587,1.62112,4.4865,5.1081,1.2162,0.0811,20.6486,Scoring PG,R1,188.0,21-30
36,85.7,104.9,24.0,49.7,53.99,1.9,13.3,12.8,15.8,0.751,0.503,0.319,1.5,3.2,36.2,0.93749446,0.6083,0.3282,98.9771,244.879,5.02166,2.84666,2.17499,5.46561,34.5278,2.76967,2.69594,4.6944,2.0833,1.8333,0.4444,16.4167,Wing G,R2,193.0,41-50
34,90.2,112.9,32.8,47.0,54.83,2.5,16.7,38.0,14.3,0.853,0.464,0.324,0.3,3.7,47.2,1.94738903,0.6298,0.3319,93.3699,258.227,9.55658,6.99107,2.56551,10.1645,36.0882,6.90038,3.26417,5.8824,5.4412,2.1765,0.0882,21.6765,Scoring PG,R1,188.0,21-30
34,33.2,114.2,17.6,62.5,60.68,11.4,11.7,6.6,19.7,0.476,0.609,0.448,5.6,3.4,36.2,0.64286582,0.6622,0.3333,96.7728,101.575,7.95513,3.58777,4.36735,6.96704,13.7059,3.36225,3.60479,2.6471,0.5294,0.7941,0.7647,4.8529,Wing F,R1,203.2,21-30
16,28.9,115.6,20.5,61.5,61.12,8.5,16.1,11.0,18.0,0.563,0.701,0.311,5.5,3.0,39.3,0.88461538,0.7778,0.3571,98.5464,88.5137,8.72022,4.65725,4.06298,7.84486,25.125,4.83015,3.0147,5.4375,1.4375,1.3125,1.3125,11.0625,Wing F,R1,203.2,21-30
31,78.2,122.5,26.2,67.4,68.4,5.2,22.0,14.5,15.4,0.702,0.698,0.39,4.1,1.8,36.4,0.98532022,0.8267,0.4466,89.5851,221.628,10.1576,5.97507,4.18257,11.949,31.6452,8.60654,3.34245,7.5484,2.1613,0.9677,1.2258,20.0323,Wing F,R1,205.7,1-10
32,92.6,107.3,29.5,51.9,55.32,2.6,11.5,29.1,15.0,0.759,0.513,0.353,0.1,2.1,29.2,1.58828408,0.6176,0.3873,105.077,190.068,5.48991,5.77286,-0.282953,6.22741,37.625,6.08615,0.141261,4.2188,4.2188,1.2812,0.0312,19.5312,Scoring PG,R2,193.0,41-50
40,69.7,121.0,17.9,57.3,58.77,9.9,23.0,4.3,11.4,0.7,0.511,0.433,5.5,1.3,20.8,0.75,0.5728,0.4444,95.809,248.547,7.95853,4.14989,3.80864,6.62804,28.125,4.40706,2.22098,8.025,0.75,0.65,1.475,10.85,PF/C,R1,203.2,21-30
28,68.4,119.1,23.4,61.9,64.6,12.4,18.4,8.4,15.9,0.72,0.623,0.25,9.8,2.3,50.2,0.53570002,0.7258,0.4149,87.5848,212.781,11.4266,4.11973,7.30689,10.8833,30.6429,6.17366,4.70968,8.6429,1.0714,1.2143,2.7143,16.2857,C,R1,205.7,1-10
29,84.7,113.1,29.1,53.0,56.61,4.9,13.5,19.2,15.1,0.713,0.467,0.427,2.2,1.9,40.7,1.19715727,0.6548,0.3817,102.081,174.73,4.22884,4.93197,-0.703128,6.35506,34.4828,6.86312,-0.50806,5.7241,2.931,1.0345,0.6897,19.8966,Wing G,R2,195.6,31-40
31,84.4,118.8,23.4,54.1,59.0,6.7,19.0,18.5,11.7,0.777,0.504,0.422,3.0,3.3,44.9,1.78728317,0.6818,0.4037,84.1473,240.544,12.4131,6.48729,5.92584,13.0999,35.3871,8.03978,5.06012,7.4839,2.7097,1.8387,0.9032,16.1613,Wing F,R1,203.2,1-10
33,56.2,119.8,25.2,55.1,58.47,8.5,11.3,10.6,10.7,0.775,0.486,0.395,1.8,2.8,30.7,1.10525399,0.5932,0.4096,96.5317,157.897,10.2878,8.81885,1.46891,11.7145,23.9394,9.97979,1.73473,4.4242,1.2727,1.2121,0.4242,14.697,Wing G,R1,198.1,21-30
35,68.7,116.1,25.4,56.7,59.19,10.2,19.9,13.1,15.8,0.663,0.549,0.423,4.8,1.7,48.9,0.91305668,0.6569,0.4497,92.7403,220.01,10.1556,5.26992,4.88566,10.0036,29.2571,6.29404,3.70956,7.5714,1.8,0.8571,1.2286,15.1714,PF/C,R1,203.2,11-20
32,87.0,115.4,28.0,54.0,56.88,13.4,23.5,11.2,12.6,0.686,0.547,0.2,6.4,1.7,40.3,0.76119968,0.7371,0.433,86.8008,275.465,7.23334,2.53836,4.69498,8.29928,35.3438,5.33606,2.96322,11.8438,1.5938,1.0,2.2188,20.375,C,R1,205.7,21-30
38,87.4,120.4,16.7,59.7,61.46,4.2,20.4,7.6,12.2,0.781,0.537,0.423,2.7,1.3,18.0,1.29544868,0.5604,0.4889,100.175,241.158,7.38353,5.662,1.72153,6.90135,35.5526,5.87704,1.02432,7.4211,1.5,0.7105,0.9474,12.5,Stretch 4,R2,195.6,41-50
31,83.4,112.6,20.3,54.6,57.93,3.4,12.7,23.0,16.3,0.769,0.564,0.352,1.2,3.8,30.7,1.84614646,0.6635,0.3898,96.4163,233.53,7.26551,4.22015,3.04537,7.40592,34.1613,3.93913,3.46679,5.1935,3.871,2.4194,0.4194,14.5161,Combo G,R2,200.7,31-40
38,81.8,129.5,17.2,60.7,62.42,10.6,13.4,5.5,10.7,0.692,0.626,0.348,4.1,1.2,34.8,0.87811659,0.8242,0.3937,94.0703,233.26,9.11359,5.81768,3.29592,8.74506,33.0263,6.23586,2.5092,7.4474,0.9474,0.7105,1.3421,14.3158,PF/C,R1,205.7,11-20
29,52.1,104.2,21.9,49.5,55.11,6.8,13.9,8.4,20.2,0.838,0.5,0.32,5.6,2.6,35.6,0.58001276,0.6235,0.3611,93.4429,131.07,4.77677,0.777642,3.99912,4.46225,22.4483,1.7043,2.75795,3.9655,1.0,1.0,1.0345,9.2414,Wing F,R1,203.2,1-10
24,61.7,108.8,29.0,47.6,52.27,1.6,6.0,25.9,17.1,0.857,0.455,0.332,0.6,3.9,25.7,1.37879996,0.58,0.3333,98.513,143.825,5.16627,4.90741,0.258865,7.47588,33.9583,5.28972,2.18616,2.2917,3.7917,2.2083,0.2083,18.625,desconocido,R2,182.9,51-60
28,72.6,105.6,27.3,51.0,57.22,6.8,18.6,22.6,20.8,0.902,0.489,0.356,3.0,3.9,34.8,0.96627442,0.6604,0.2683,94.6435,210.186,6.68486,3.41633,3.26852,6.74572,33.1786,4.41774,2.32799,7.2143,3.0714,2.1429,0.8571,16.7143,Wing F,R1,203.2,1-10
28,72.0,108.4,23.6,53.7,56.21,11.2,25.7,11.1,16.5,0.756,0.554,0.294,9.4,3.3,22.3,0.71211393,0.6628,0.4048,88.7649,254.107,10.0563,2.61417,7.44211,8.59097,31.6897,4.57062,4.02035,10.6897,1.6207,1.8621,2.5517,15.1379,PF/C,R2,205.7,51-60
31,88.8,120.6,28.4,56.3,60.08,2.3,11.6,31.6,16.0,0.821,0.512,0.415,0.1,2.5,30.3,2.0235603,0.6013,0.3711,100.303,193.577,8.38468,8.4833,-0.0986219,10.0406,36.5161,8.7003,1.34032,4.3226,5.5484,1.5161,0.0323,20.4839,Scoring PG,R1,188.0,21-30
32,66.6,110.6,22.6,51.0,53.61,10.8,18.6,8.8,14.4,0.696,0.515,0.303,2.1,1.7,28.3,0.75922966,0.697,0.3929,96.8961,188.837,4.93194,3.43733,1.4946,4.25016,30.9062,3.49204,0.758121,7.7188,1.2812,0.875,0.5938,13.7188,PF/C,R1,210.8,21-30
40,76.7,105.0,21.1,45.9,51.34,1.1,7.6,34.3,24.0,0.867,0.476,0.288,0.6,4.3,28.5,2.15094325,0.6,0.3023,87.954,239.991,6.18906,3.46654,2.72252,6.25131,31.175,2.20725,4.04406,2.35,5.7,2.25,0.15,10.025,Pure PG,R2,182.9,51-60
36,86.3,114.3,30.6,51.4,57.42,2.2,9.6,41.5,18.6,0.8,0.49,0.359,0.0,2.5,47.4,2.09014725,0.6176,0.3492,99.797,214.001,8.91995,8.65576,0.264188,9.85462,34.7778,8.36336,1.49126,3.75,7.0833,1.5,0.0,19.7778,Pure PG,R2,177.8,41-50
31,75.3,98.2,27.2,51.1,53.4,11.4,24.7,7.5,18.6,0.599,0.514,0.325,6.4,2.0,50.7,0.34480671,0.6407,0.2143,81.6111,256.167,3.93532,-0.850593,4.78591,5.13187,30.3548,2.18189,2.94998,10.7742,0.9677,1.0968,1.871,15.7742,PF/C,R1,205.7,11-20
30,79.4,118.2,25.3,52.3,55.77,5.4,14.1,12.6,13.5,0.788,0.41,0.403,1.2,2.6,26.5,1.07276494,0.5915,0.2857,90.3659,183.974,8.00766,6.574,1.43366,9.96569,32.8,7.86296,2.10273,5.7,1.9667,1.4,0.3,17.8333,Wing G,R1,195.6,21-30
37,74.6,116.7,19.2,57.1,62.87,10.7,18.6,6.5,19.9,0.776,0.564,0.6,6.5,1.8,64.9,0.52113189,0.7315,0.3333,94.3303,233.362,8.23581,3.55773,4.67808,5.96114,29.9459,3.12705,2.83409,7.4595,1.0,0.9189,1.8108,11.6486,PF/C,R2,200.7,31-40
36,59.3,107.8,23.3,48.9,54.44,7.6,16.0,11.3,18.6,0.821,0.475,0.358,2.7,1.6,36.7,0.76560917,0.6341,0.391,98.0693,160.106,4.1978,2.62319,1.57461,4.36121,24.4444,3.17127,1.18994,4.9167,1.3611,0.6389,0.6111,10.8333,PF/C,R2,205.7,31-40
36,80.4,123.0,25.2,54.7,60.82,10.3,15.0,11.2,12.8,0.827,0.55,0.353,1.8,2.2,48.7,0.92646512,0.7902,0.4222,95.2815,237.307,9.18086,6.61291,2.56795,9.62658,32.2778,7.5522,2.07438,7.3611,1.75,1.2778,0.5833,19.3056,Wing F,R1,198.1,21-30
34,84.5,116.3,25.8,57.4,62.16,4.7,11.6,16.6,19.3,0.809,0.564,0.396,1.1,2.9,43.7,0.96967512,0.612,0.4742,103.213,204.2,6.74253,5.40571,1.33682,7.30397,34.0588,5.64144,1.66253,4.6765,2.8235,1.6765,0.3235,18.5,Combo G,R2,193.0,41-50
38,87.9,108.0,31.3,50.6,53.19,4.8,17.2,23.5,15.9,0.665,0.529,0.308,1.2,1.4,31.9,1.33335401,0.6412,0.3824,95.1227,254.326,5.93047,4.58557,1.3449,7.17656,35.2632,5.86672,1.30984,7.5789,4.3158,0.8947,0.4211,22.6316,Wing G,R1,200.7,1-10
34,92.1,111.9,28.5,46.8,54.93,2.8,12.4,19.7,12.9,0.887,0.49,0.298,3.6,3.6,44.5,1.63636356,0.7284,0.3818,95.2301,245.506,7.11989,5.35124,1.76865,7.47417,36.9714,6.03013,1.44405,4.7143,3.6,2.1429,1.0,19.6571,Wing G,R1,198.1,21-30
25,65.1,109.9,23.5,53.6,58.2,7.0,20.1,16.1,20.4,0.763,0.558,0.267,3.1,2.6,44.1,1.0,0.6566,0.439,94.1902,149.176,7.54953,3.37927,4.17026,6.57951,26.32,3.39166,3.18786,6.4,2.2,1.2,0.72,11.88,Wing F,R2,203.2,51-60
31,85.1,110.1,25.5,55.3,59.21,10.1,19.3,10.5,17.3,0.712,0.555,0.0,8.4,1.6,52.0,0.60255955,0.7473,0.3516,91.8354,226.749,7.72836,1.95364,5.77471,7.41479,34.3226,4.01402,3.40077,9.0,1.5161,0.9355,2.4839,17.4839,C,R2,205.7,31-40
23,57.3,101.4,28.8,52.1,54.73,2.3,13.9,12.2,14.4,0.694,0.481,0.383,1.1,1.5,29.9,0.71999634,0.5517,0.42,100.566,122.977,0.927228,2.60346,-1.67623,4.09223,32.2609,4.5805,-0.488272,4.8261,1.5652,0.7826,0.3478,17.8261,Wing G,R1,198.1,11-20
31,93.2,116.4,24.4,52.4,56.57,4.0,13.3,23.5,12.8,0.715,0.545,0.317,1.7,3.0,46.7,2.19042468,0.663,0.3365,101.748,222.896,6.27909,5.70333,0.575761,7.06943,37.2903,6.07031,0.999121,5.1613,4.4516,1.9677,0.5806,18.4194,Combo G,R2,185.4,31-40
36,68.2,111.8,23.5,55.0,56.76,13.3,20.9,9.6,15.1,0.64,0.56,0.263,6.3,3.1,33.8,0.75413126,0.6721,0.4104,91.6831,252.05,8.55591,3.00336,5.55255,7.30317,27.6389,3.6926,3.61057,8.6667,1.2778,1.5,1.7222,12.3333,C,R2,208.3,51-60
30,42.3,109.2,17.6,56.4,55.74,11.0,17.4,5.4,17.5,0.5,0.566,0.333,4.5,3.2,44.8,0.59255555,0.7051,0.3182,87.4938,118.998,6.27877,0.820635,5.45813,5.95994,17.5,1.23966,4.72028,4.3333,0.5333,0.9333,0.6667,5.6333,PF/C,R2,208.3,51-60
